"","hospital_pk","collection_week","state","ccn","hospital_name","address","city","zip","hospital_subtype","fips_code","is_metro_micro","total_beds_7_day_avg","all_adult_hospital_beds_7_day_avg","all_adult_hospital_inpatient_beds_7_day_avg","inpatient_beds_used_7_day_avg","all_adult_hospital_inpatient_bed_occupied_7_day_avg","inpatient_beds_used_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg","inpatient_beds_7_day_avg","total_icu_beds_7_day_avg","total_staffed_adult_icu_beds_7_day_avg","icu_beds_used_7_day_avg","staffed_adult_icu_bed_occupancy_7_day_avg","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg","staffed_icu_adult_patients_confirmed_covid_7_day_avg","total_patients_hospitalized_confirmed_influenza_7_day_avg","icu_patients_confirmed_influenza_7_day_avg","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg","total_beds_7_day_sum","all_adult_hospital_beds_7_day_sum","all_adult_hospital_inpatient_beds_7_day_sum","inpatient_beds_used_7_day_sum","all_adult_hospital_inpatient_bed_occupied_7_day_sum","inpatient_beds_used_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum","inpatient_beds_7_day_sum","total_icu_beds_7_day_sum","total_staffed_adult_icu_beds_7_day_sum","icu_beds_used_7_day_sum","staffed_adult_icu_bed_occupancy_7_day_sum","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum","staffed_icu_adult_patients_confirmed_covid_7_day_sum","total_patients_hospitalized_confirmed_influenza_7_day_sum","icu_patients_confirmed_influenza_7_day_sum","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum","total_beds_7_day_coverage","all_adult_hospital_beds_7_day_coverage","all_adult_hospital_inpatient_beds_7_day_coverage","inpatient_beds_used_7_day_coverage","all_adult_hospital_inpatient_bed_occupied_7_day_coverage","inpatient_beds_used_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage","inpatient_beds_7_day_coverage","total_icu_beds_7_day_coverage","total_staffed_adult_icu_beds_7_day_coverage","icu_beds_used_7_day_coverage","staffed_adult_icu_bed_occupancy_7_day_coverage","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage","staffed_icu_adult_patients_confirmed_covid_7_day_coverage","total_patients_hospitalized_confirmed_influenza_7_day_coverage","icu_patients_confirmed_influenza_7_day_coverage","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_adult_covid_confirmed_18.19_7_day_sum","previous_day_admission_adult_covid_confirmed_20.29_7_day_sum","previous_day_admission_adult_covid_confirmed_30.39_7_day_sum","previous_day_admission_adult_covid_confirmed_40.49_7_day_sum","previous_day_admission_adult_covid_confirmed_50.59_7_day_sum","previous_day_admission_adult_covid_confirmed_60.69_7_day_sum","previous_day_admission_adult_covid_confirmed_70.79_7_day_sum","previous_day_admission_adult_covid_confirmed_80._7_day_sum","previous_day_admission_adult_covid_confirmed_unknown_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_adult_covid_suspected_18.19_7_day_sum","previous_day_admission_adult_covid_suspected_20.29_7_day_sum","previous_day_admission_adult_covid_suspected_30.39_7_day_sum","previous_day_admission_adult_covid_suspected_40.49_7_day_sum","previous_day_admission_adult_covid_suspected_50.59_7_day_sum","previous_day_admission_adult_covid_suspected_60.69_7_day_sum","previous_day_admission_adult_covid_suspected_70.79_7_day_sum","previous_day_admission_adult_covid_suspected_80._7_day_sum","previous_day_admission_adult_covid_suspected_unknown_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum","previous_day_total_ED_visits_7_day_sum","previous_day_admission_influenza_confirmed_7_day_sum","geocoded_hospital_address","hhs_ids","previous_day_admission_adult_covid_confirmed_7_day_coverage","previous_day_admission_pediatric_covid_confirmed_7_day_coverage","previous_day_admission_adult_covid_suspected_7_day_coverage","previous_day_admission_pediatric_covid_suspected_7_day_coverage","previous_week_personnel_covid_vaccinated_doses_administered_7_day","total_personnel_covid_vaccinated_doses_none_7_day","total_personnel_covid_vaccinated_doses_one_7_day","total_personnel_covid_vaccinated_doses_all_7_day","previous_week_patients_covid_vaccinated_doses_one_7_day","previous_week_patients_covid_vaccinated_doses_all_7_day"
"11","011305","2022/01/07","AL","011305","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","ONEONTA",35121,"Critical Access Hospitals",1009,"true",56,56,46,25.9,25.9,0,0,5,0,0,46,6,6,4.1,4.1,0,0,0,0,0,392,392,322,181,181,7,0,35,0,0,322,42,42,29,29,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,37,0,0,0,0,4,12,8,13,0,0,151,0,0,0,0,0,0,0,0,0,0,0,289,0,"POINT (-86.492973 33.932504)","[C011305-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"12","010110","2022/01/07","AL","010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","UNION SPRINGS",36089,"Short Term",1011,"false",68,68,64,14.1,14.1,NA,NA,NA,0,0,64,0,0,0,0,0,0,0,0,0,476,476,448,99,99,7,25,25,0,0,448,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,0,0,0,0,NA,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,83,0,"POINT (-85.716432 32.146183)","[C010110-A]",7,7,7,7,0,56,NA,49,0,0
"13","010150","2022/01/07","AL","010150","REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA","29 L V STABLER DRIVE","GREENVILLE",36037,"Short Term",1013,"false",38,34,25,16.2,16.2,NA,NA,NA,NA,NA,29,7,7,5.5,5.5,0,0,0,0,0,228,204,150,97,97,6,19,19,NA,NA,174,42,42,33,33,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0,0,0,0,0,NA,NA,NA,0,NA,102,0,0,0,0,0,0,0,0,0,0,0,217,0,"POINT (-86.64586 31.82945)","[C010150-A]",6,6,6,6,NA,NA,NA,NA,NA,NA
"14","010078","2022/01/07","AL","010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON",36207,"Short Term",1015,"true",227.7,227.7,210,206.9,206.9,32.6,32.6,32.6,0,0,210,16,16,14.6,14.6,5,5,NA,0,0,1594,1594,1470,1448,1448,7,228,228,0,0,1470,112,112,102,102,35,35,10,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,40,0,NA,NA,NA,10,11,7,5,0,0,201,0,0,0,0,0,0,0,0,0,0,0,705,0,"POINT (-85.823647 33.657122)","[C010078-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"15","010038","2022/01/07","AL","010038","STRINGFELLOW CAMPUS OF NORTHEAST RMC","301 EAST 18TH ST","ANNISTON",36201,"Short Term",1015,"true",45,45,33,26.9,26.9,NA,NA,NA,0,0,33,6,6,5.1,5.1,0,0,0,0,0,315,315,231,188,188,7,4,4,0,0,231,42,42,36,36,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,368,0,"POINT (-85.824495 33.66751)","[C010038-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"16","012011","2022/01/07","AL","012011","NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR","ANNISTON",36202,"Long Term",1015,"true",19,19,19,17.7,17.7,0,0,0,0,0,19,0,0,0,0,0,0,NA,NA,NA,133,133,133,124,124,7,0,0,0,0,133,0,0,0,0,0,0,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"POINT (-85.823647 33.657122)","[C012011-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"17","010175","2022/01/07","AL","010175","EAMC - LANIER","4800 48TH STREET","VALLEY",36854,"Short Term",1017,"true",35,35,25,19.4,19.4,NA,NA,NA,0,0,25,0,0,0,0,0,0,NA,0,0,245,245,175,136,136,7,15,15,0,0,175,0,0,0,0,0,0,NA,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,NA,NA,NA,NA,NA,0,0,219,0,0,0,0,0,0,0,0,0,0,0,393,0,"POINT (-85.1702 32.82397)","[C010175-A]",7,7,7,7,0,38,253,230,0,0
"18","010022","2022/01/07","AL","010022","FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE",35960,"Short Term",1019,"false",53.1,53.1,46.1,16.3,16.3,NA,NA,NA,0,0,46.1,0,0,0,0,0,0,0,0,0,372,372,323,114,114,7,25,25,0,0,323,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0,0,0,NA,NA,NA,5,0,0,118,NA,0,0,0,0,0,0,0,NA,0,0,215,0,"POINT (-85.65142 34.162761)","[C010022-A]",7,7,7,7,NA,107,5,126,NA,NA
"19","010173","2022/01/07","AL","010173","ST VINCENT'S CHILTON","2030 LAY DAM ROAD","CLANTON",35045,"Short Term",1021,"true",45,45,35,17.4,17.4,6.9,6.9,6.9,0,0,35,6,6,NA,NA,NA,NA,0,0,0,315,315,245,122,122,7,48,48,0,0,245,42,42,19,19,19,19,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,0,0,NA,NA,NA,NA,NA,NA,0,0,241,0,0,0,0,0,0,0,0,0,0,0,459,0,"POINT (-86.623511 32.876583)","[C010173-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"20","011304","2022/01/07","AL","011304","CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618","BUTLER",36904,"Critical Access Hospitals",1023,"false",35,35,28,6.4,6.4,NA,NA,NA,0,0,28,0,0,0,0,0,0,0,0,0,245,245,196,45,45,7,5,5,0,0,196,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,118,0,"","[C011304-A]",7,7,7,7,0,50,5,88,0,0
"21","010174","2022/01/07","AL","010174","THOMASVILLE REGIONAL MEDICAL CENTER","300 MED PARK DRIVE","THOMASVILLE",36784,"Short Term",1025,"false",43.6,43.6,35.6,6.7,6.7,NA,NA,NA,0,0,35.6,0,0,0,0,0,0,0,0,0,305,305,249,47,47,7,18,18,0,0,249,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0,0,0,NA,0,NA,NA,0,0,45,0,0,0,0,0,0,0,0,0,0,0,189,0,"","[C010174-A]",7,7,7,7,0,22,8,96,0,0
"22","010128","2022/01/07","AL","010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON",36545,"Short Term",1025,"false",25,25,20,11.9,11.9,4.6,4.6,4.6,0,0,20,0,0,0,0,0,0,NA,0,NA,175,175,140,83,83,7,32,32,0,0,140,0,0,0,0,0,0,NA,0,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0,NA,NA,NA,0,NA,NA,0,0,64,0,0,0,0,0,0,0,0,0,0,0,134,0,"POINT (-87.894589 31.531031)","[C010128-A]",7,7,7,7,0,39,128,118,0,0
"23","010091","2022/01/07","AL","010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL",36451,"Short Term",1025,"false",48,45,36,10.9,10.3,NA,NA,NA,0,0,39,0,0,0,0,0,0,0,0,0,336,315,252,76,72,7,9,9,0,0,273,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,0,0,NA,0,0,0,0,NA,0,0,39,0,0,0,0,0,0,0,0,0,0,0,147,0,"POINT (-87.777197 31.694369)","[C010091-A]",7,7,7,7,0,0,0,0,0,0
"24","010073","2022/01/07","AL","010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND",36251,"Short Term",1027,"false",46.6,45.7,40.7,14.1,14.1,NA,NA,NA,0,0,41.6,4,4,4.3,4.3,NA,NA,NA,NA,NA,326,320,285,99,99,7,24,23,0,0,291,28,28,30,30,25,24,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,20,0,0,0,0,6,NA,6,7,0,0,18,NA,0,0,0,0,0,0,NA,0,0,0,110,NA,"POINT (-85.823875 33.276514)","[C010073-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"25","010049","2022/01/07","AL","010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE",36330,"Short Term",1031,"true",72,72,60,47,47,9.9,8,6.1,NA,NA,60,9,9,6,6,NA,NA,0,0,0,504,504,420,329,329,7,56,43,13,NA,420,63,63,42,42,9,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,NA,NA,NA,NA,0,7,10,0,0,0,119,NA,0,0,0,0,NA,0,0,0,0,0,734,0,"POINT (-85.855269 31.318147)","[C010049-A]",7,7,7,7,0,236,16,352,0,0
"26","010157","2022/01/07","AL","010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS",35661,"Short Term",1033,"true",117,117,108,71.3,71.3,NA,NA,NA,0,0,108,0,0,0,0,0,0,0,0,0,819,819,756,499,499,7,19,19,0,0,756,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,0,0,0,0,NA,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,166,0,"POINT (-87.676287 34.744941)","[C010157-A]",7,7,7,7,0,139,7,225,0,0
"27","010019","2022/01/07","AL","010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD",35660,"Short Term",1033,"true",206,190,166,119.4,115.9,26.7,25.7,28.9,NA,NA,182,18,18,15.6,15.6,10.9,10.4,NA,NA,NA,1442,1330,1162,836,811,7,180,202,7,7,1274,126,126,109,109,76,73,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,27,0,0,NA,4,9,6,6,NA,0,NA,322,NA,0,0,0,0,NA,0,0,0,0,0,699,NA,"POINT (-87.698913 34.745928)","[C010019-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"28","010148","2022/01/07","AL","010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN",36401,"Short Term",1035,"false",34,34,29,15.4,15.4,4,4,NA,0,0,29,0,0,0,0,0,0,0,0,0,238,238,203,108,108,7,28,22,0,0,203,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,NA,NA,NA,NA,0,NA,0,0,75,4,0,0,0,NA,NA,NA,0,0,0,0,166,0,"POINT (-86.941683 31.431295)","[C010148-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
